date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
11/29/2024,-14.6,-16.15,-16.1,-17.6,,-26,87,85.9,85.5,84,-16.5,-18,-17.9,-19.4,19,14.79,14.5,10,,,102.83,102.61,102.58,102.34,89.33,89.12,89.09,88.85,6400,2891.7,3700,1000,3.2,3,3,2.8,34.1,0,0,0,0,1.6,0,1.6,19,8:16:00,1732893360,8.27,16:33:00,1732923180,16.55,8.28,,,-9,-9,-19,-17,,,,,,8,6.5,4.5,1,,,,
11/28/2024,-12.2,-15.64,-15.5,-18.8,,-24,88,86.4,86,84,-15.6,-17.4,-18.1,-20.6,20,11.12,12,4,,,102.99,102.87,102.86,102.74,89.42,89.36,89.35,89.28,2800,1300,1500,200,3.7,3.6,3.6,3.5,33.5,0,0,0,0,2,0,2,18,8:15:00,1732806900,8.25,16:34:00,1732836840,16.57,8.32,1,1,-14,-13,-19,-15,,,,,,5,2.7,2.5,0,,,,
11/27/2024,-7.1,-11.37,-11.55,-16,,-22,94,86.3,86,78,-10.6,-13.2,-14.7,-18.7,16,4.79,8,0,,,102.9,102.73,102.66,102.42,89.45,89.35,89.31,89.18,24100,17662.5,12450,800,3.8,3.4,3.3,2.8,29.6,0,0,0,0,0,0,0,18,8:13:00,1732720380,8.22,16:35:00,1732750500,16.58,8.37,,,-10,-10,-17,-14,,,,,,8,5.6,4,0,,,,
11/26/2024,-2.6,-10.58,-10.35,-18.1,,-24,88,77.6,75.5,63,-9.3,-13.9,-14.3,-19.4,23,6.83,11.5,0,,,102.42,101.84,101.99,101.55,89.13,88.52,88.72,88.32,64400,40358.3,37850,11300,4,3.2,3.4,2.8,28.4,0,0,0,0,0,0,0,19,8:12:00,1732633920,8.2,16:36:00,1732664160,16.6,8.4,1,1,-4,-4,-16,-15,,,,,,6,2.2,3,0,,,,
11/25/2024,-13,-15.3,-15.6,-18.2,,-26,89,84.8,84,79,-15.6,-17.3,-17.7,-19.8,21,14.33,15,9,32,17,102.78,102.39,102.36,101.94,89.27,88.92,88.91,88.56,24100,18300,17700,11300,3.2,2.8,2.8,2.3,33.6,0,0,0,0,0,0,0,20,8:10:00,1732547400,8.17,16:36:00,1732577760,16.6,8.43,1,1,-12,-12,-15,-14,,,,,,8,6.5,4.5,1,,,,
11/24/2024,-11.9,-14.75,-16.25,-20.6,,-24,86,76.4,75.5,65,-15,-18.1,-17.9,-20.9,27,12.67,13.5,0,36,34,103,102.64,102.57,102.14,89.41,89.19,89.1,88.79,48300,23462.5,30600,12900,3.3,2.2,2.5,1.7,34.2,0,0,0,0,0,0,0,20,8:09:00,1732460940,8.15,16:37:00,1732491420,16.62,8.47,1,1,-12,-11,-18,-15,,,,,,8,4.8,4.5,1,,,,
11/23/2024,-11.3,-11.95,-12.05,-12.8,,-23,88,84,83.5,79,-13.5,-14.1,-14.3,-15.2,35,20.29,20.5,6,50,35,102.06,101.72,101.76,101.46,88.75,88.44,88.49,88.22,16100,6062.5,8150,200,2.2,2,2,1.9,30.1,0,0,0,0,20.8,3,17.8,24,8:07:00,1732374420,8.12,16:38:00,1732405080,16.63,8.52,,,-10,-10,-15,-12,,,,,,8,7.8,7,6,,,,
11/22/2024,-10.1,-11.6,-12.5,-14.9,,-19,90,87.2,87,84,-12.1,-13.3,-13.8,-15.4,17,9.17,10,3,,,103.06,102.78,102.62,102.19,89.6,89.37,89.24,88.87,12900,6279.2,6650,400,3,2.8,2.6,2.2,30.5,0,0,0,0,2.3,0.9,1.4,12,8:06:00,1732287960,8.1,16:39:00,1732318740,16.65,8.55,,,-11,-11,-12,-12,,,,,,8,7.9,7,6,,,,
11/21/2024,-9.7,-10.97,-11.2,-12.7,,-19,90,84.6,83.5,77,-12.6,-13.1,-13.1,-13.5,17,11.08,10.5,4,,,102.96,102.77,102.8,102.64,89.55,89.38,89.41,89.27,14500,8575,7850,1200,2.6,2.1,2.2,1.8,29.2,0,0,0,0,3.6,0,4.4,9,8:04:00,1732201440,8.07,16:40:00,1732232400,16.67,8.6,1,1,-10,-10,-15,-12,,,,,,8,7.8,7,6,,,,
11/20/2024,-9.1,-10.28,-10.3,-11.5,,-19,92,90.5,89.5,87,-10.2,-11.5,-11.7,-13.2,19,12.42,12,5,,,103.1,102.86,102.84,102.58,89.73,89.48,89.47,89.21,14500,7687.5,7850,1200,2.5,2.3,2.3,2.1,28.3,0,0,0,0,0,0,0,6,8:02:00,1732114920,8.03,16:41:00,1732146060,16.68,8.65,,,-7,-7,-12,-11,,,,,,8,7.5,4.5,1,,,,
11/19/2024,-3,-6.45,-6.2,-9.4,,-15,97,87.2,85,73,-5.3,-8.3,-7.9,-10.5,14,7.25,7,0,,,103.06,102.37,102.33,101.6,89.74,89.17,89.14,88.54,24100,13375,12250,400,3.8,2.8,3,2.2,24.2,0,0,0,0,0,0,0,6,8:01:00,1732028460,8.02,16:42:00,1732059720,16.7,8.68,,,-5,-5,-11,-11,,,,,,8,6.7,5.5,3,,,,
11/18/2024,-0.8,-2.42,-3,-5.2,,-9,98,91.9,84.5,71,-2,-3.6,-3.7,-5.4,20,10.21,10,0,32,3,101.55,100.75,100.71,99.86,88.5,87.87,87.86,87.22,16100,4926.1,8550,1000,2.9,2.4,2.5,2.2,21,0,0,0,0,5.4,0,6.4,3,7:59:00,1731941940,7.98,16:44:00,1731973440,16.73,8.75,,,-2,-2,-7,-6,,,,,,8,7.7,5.5,3,,,,
11/17/2024,10.5,3.63,4.5,-1.5,,-4,75,49.1,52,29,-4.9,-6.7,-6.8,-8.7,36,13.12,18,0,60,28,99.88,99.39,99.45,99.02,87.21,86.8,86.86,86.5,48300,28479.2,32200,16100,2.6,2.3,2.4,2.1,13.5,0,0,0,0,0,0,0,,7:57:00,1731855420,7.95,16:45:00,1731887100,16.75,8.8,1,1,8,8,-3,-3,,,,,,8,6.2,5,2,,,,
11/16/2024,6.5,0.78,-0.39,-7.3,,-12,98,62,66.5,35,-2.3,-6.7,-5.9,-9.5,21,12.83,14,7,31,23,101.34,100.5,100.29,99.24,88.38,87.66,87.52,86.66,64400,32716.7,33200,2000,3.1,2.3,2.4,1.7,18.4,0,0,0,0,0,0,0,,7:56:00,1731768960,7.93,16:46:00,1731800760,16.77,8.83,1,1,3,3,-1,0,,,,,,8,5.3,4,0,,,,
